scenario_id,target_id,task,model,logloss,brier,auc,balanced_accuracy,macro_f1,mae,rmse,r2,direction_accuracy,n_matured,n_pending,n_trades,n_skipped,n_unrealized,total_pnl,return_on_bankroll,return_on_turnover,win_rate,avg_pnl,max_drawdown,pnl_per_trade_std
TRD02,target_delta_6h,regression,limix,,,,,,0.018629669546323717,0.04320236891505771,-1.156529716675069,0.6299435028248588,708,795,215.0,225.0,0.0,-771.0285090311421,-0.07710285090311421,-0.03586179111772754,0.30697674418604654,-3.586179111772754,843.5820739543358,13.517392839484698
TRD02,target_delta_6h,regression,base_rate,,,,,,0.014319544844632753,0.030208037749000834,-0.05435134267485764,0.4788135593220339,708,795,0.0,0.0,0.0,0.0,0.0,,,,0.0,
TRD02,target_delta_6h,regression,price_unchanged,,,,,,0.011010593220338963,0.02943847721397908,-0.0013156571999271005,0.3389830508474576,708,795,0.0,0.0,0.0,0.0,0.0,,,,0.0,
TRD02,target_delta_6h,regression,mean_reversion,,,,,,0.011192443502824837,0.029305094727323445,0.007737487982161895,0.5282485875706214,708,795,57.0,71.0,0.0,99.93230211332605,0.009993230211332605,0.017531982826899307,0.5964912280701754,1.7531982826899306,112.73829183655069,17.79693090500739
TRD02,target_delta_6h,regression,momentum,,,,,,0.01205685028248585,0.03151190951662847,-0.1473337429226398,0.5112994350282486,708,795,57.0,71.0,0.0,-543.3436765124435,-0.05433436765124435,-0.09532345201972693,0.19298245614035087,-9.532345201972692,594.3538905590517,19.956397994479982
DOM02,target_up_24h,classification,limix,0.9960175740740739,0.6294816251140742,0.7121500332026648,0.45818713450292403,0.4338680926916221,,,,,54,130,28.0,111.0,0.0,112.82782555133508,0.011282782555133508,0.040295651982619675,0.42857142857142855,4.029565198261968,143.31719627308613,41.07424625427013
DOM02,target_up_24h,classification,base_rate,1.1195448703703705,0.678712191443889,0.42472225057364366,0.3333333333333333,0.1801801801801802,,,,,54,130,0.0,0.0,0.0,0.0,0.0,,,,0.0,
DOM02,target_up_24h,classification,price_unchanged,1.9252242222222227,1.0853703703703703,0.5,0.3333333333333333,0.1801801801801802,,,,,54,130,0.0,0.0,0.0,0.0,0.0,,,,0.0,
DOM02,target_up_24h,classification,mean_reversion,1.097057703703704,0.6641438234152038,0.5035417855851292,0.42777777777777776,0.33376068376068374,,,,,54,130,0.0,34.0,0.0,0.0,0.0,,,,0.0,
DOM02,target_up_24h,classification,momentum,1.145187703703704,0.693218836567426,0.4377058155695927,0.24444444444444444,0.18624338624338624,,,,,54,130,0.0,18.0,0.0,0.0,0.0,,,,0.0,
